name,description,latitude,longitude,category
There are campgrounds along the main road here,"There are campgrounds along the main road here. I believe the campgrounds are provided and maintained by the Forest Service though they are primitive. A creek does flow along the campgrounds, though the water level varies dependent on the time of year. I was there in early July and the water in the creek was just a trickle with areas of pooled water. ",41.689627,-115.503306,Free Camping
Black Kettle National Grassland at Dead Indian Lake,"Black Kettle National Grassland at Dead Indian Lake. A beautiful spot with about a dozen camp sites. A few of which have full sun all day and great access to the lake. The others, closer to the entrance, are very well shaded with great hammock spots. Both locations have large, flat, grassy areas perfect to pitch a tent, with restrooms close by.

Free, legal, and public year around with a 14 day limit on all stays.",35.745232,-99.714689,Free Camping
City of Silver Bay MN offers a municipal dump station and RV parking area adjacent to a public scenic overlook,"City of Silver Bay MN offers a municipal dump station and RV parking area adjacent to a public scenic overlook. There is a donation box but no charge to use the dump station or designated RV parking area. The area is quiet and unlit and located within easy walking distance of the city which offers a nice shopping center, public library with free wifi, 2 service stations etc.
Located less than 1 mile off Hwy 61 in downtown Silver Bay, follow the signs for the RV dump station.",47.294275,-91.270721,Free Camping
City of Burnsville MN allows overnight RV parking across from its City Hall located at 100 Civic Center Drive,City of Burnsville MN allows overnight RV parking across from it's City Hall located at 100 Civic Center Drive. Park in the large lot adjacent to the ICE CENTER. There is a free dump station at nearby Lakeville MN at 18400 Ipava Ave. Nearby Crystal Beach in Burnsville is open until 10PM and has restrooms and outside showers (free).,44.759472,-93.264556,Free Camping
City of Wabasha MN has posted 72 Hour parking for no charge,"City of Wabasha MN has posted 72 Hour parking for no charge. Across from Schells Super Value at 221 Hiawatha Dr W 55981
Just off Hwy 61, this is a large flat secure place to park for up to 3 days at no charge. Wabasha also has a City campground(fee) which may offer dump station for a small fee. Wabasha is Minnesota's oldest river town with great shopping and dining nearby (walkable).",44.378271,-92.036793,Free Camping
"The location on the street is 5810 River RdRenfrew, Ontario Canada","The location on the street is 5810 River Rd
Renfrew, Ontario Canada. There is only a garbage can there.

",45.5505858,-76.6684589,Free Camping
A dispersed camping area just off the paved road (China Hat) on Forest Service land,"A dispersed camping area just off the paved road (China Hat) on Forest Service land. Just a couple miles south of Bend. Primitive, but very convenient and accessible.",43.9842736,-121.3050659,Free Camping
Dispersed camping off of the forest service road (Paulina-East Lake Rd),"Dispersed camping off of the forest service road (Paulina-East Lake Rd). Easily accessible, primitive and free.",43.71457912,-121.4152484,Free Camping
My favorite urban boondocking site,My favorite urban boondocking site. Been here 2 years you need to move a little every 24 hours,61.1967593,-149.8817177,Free Camping
Burraston Ponds Free Camp Ground with a rope swing and seasonal pit toilets,Burraston Ponds: Free Camp Ground with a rope swing and seasonal pit toilets. Fishing. No running water.,39.794819,-111.866913,Free Camping
Privately owned land being turned into a campground in owners spare time,Privately owned land being turned into a campground in owners spare time. 16 campsites are cleared but dry camping only as of jan. 2015. Water and dump station are available.     Call owner for availability at 910-486-0085.  Ask for Mike.   Campground is located 12 miles west of  I-95 on 17 secluded acres. ,34.85526868,-78.79975496,Free Camping
Privately owned land located in the sand hills of North Carolina,Privately owned land located in the sand hills of North Carolina.  the campground is located 12 miles east of I-95/Fayetteville.  The land is being turned into a 55 site campground still under construction.  16 campsites are available for dry camping.  Water and dump pipe are available (using honey wagon).  Since it is not in business please call ahead to verify availability at 910-486-0085.  ,34.854905,-78.799483,Free Camping
"Falcon Heights County ParkHas hot showersome sites have grills, some have picnic tableshas water to each site, no sewer hookups, no electricityelectricity available in Pavillion for charging electronicsNo limit on length of stay,sites mowed once a year, campers must keep site cut","Falcon Heights County Park
Has hot shower
some sites have grills, some have picnic tables
has water to each site, no sewer hookups, no electricity
electricity available in Pavillion for charging electronics
No limit on length of stay,
sites mowed once a year, campers must keep site cut",26.5676076,-99.1267162,Free Camping
Sam Houston National Forest,"Sam Houston National Forest. 
Multiple spots along Kelly's Pond Road. 
Free for up to 14 days. $5/day fee to use surrounding trails. Trail information at end of road. 
I-45 to FM1375W. Cross Lake Conroe. Look for sharp left on 204. Kelly's Pond Rd ahead on right. 

Camped here 2/28/15. Good road condition. VW Jetta handled it no problem. Others camping in pulloffs along road too. ",30.51055,-95.662125,Free Camping
Kaibab National Forest Tusayan District,"Kaibab National Forest Tusayan District. Approaching Grand Canyon National Park on rt 64 first right turn after first traffic circle entering Tusayan route 302. Sites past 302a-e more private. 302 wide, graveled, smaller side roads vary, most good. Wouldn't need 4-wheel on most unless really bad weather. Could get big rigs in some spots. Ranger station just past second circle. 6-7 miles to GC visitor center. Mile or less to Tusayan, which has free shuttles to GC in season. Fly in ointment -- right under tourist helicopter flight path. Also, enter Park, continue toward Desert View, turn on rt 310, just past Grandview Overlook. Will exit Park, re-enter Kaibab NF. Lots of sites. The Arizona Trail crosses nearby. ",36.03721605,-112.107132,Free Camping
Mall Of America,Mall Of America. In the North Parking Lot they allow free overnight stays.  Bathrooms inside during normal business hours.,44.85591,-93.242083,Free Camping
"Hidden Valley RV Park is a pay RV Park with a few sites on the parks edge for free, one night stays for RVs only, no tents","Hidden Valley RV Park is a pay RV Park with a few sites on the parks edge for free, one night stays for RV's only, no tents.  There are no facilities included so you must be self contained. Quiet and secure location. Must call in advance and arrive before 6pm in most cases. Sites not available after heavy rains since they are in a field. Only 15 minutes to downtown San Antonio. Access on a very decent gravel road (Campground Road)
210-623-6737
http://hiddenvalleyrvpark.com
info@hiddenvalleyrvpark.com",29.2915289,-98.6175619,Free Camping
Davis Dam Camp,"Davis Dam Camp is located just below  Davis Dam  on the Arizona side of the Colorado River. This is a picturesque area with excellent views of the dam, sunsets, and the surrounding mountains. This park accomodates both the day use, as well as the long-term visits, and even includes two cottages available for daily rental. Features include a 3-lane boat ramp, 157 full service hookups, 30 hookups with water and electricity, 5 restrooms with shower facilities, a laundry facility, dump station, group picnic area with ramada, a large open area for dry camping, and a day use area with 4 ramadas. A boat and RV storage facility is also available. For those with special needs there is an accessible fishing pier, accessible boat embarcation ramp, and 10 accessible ramada sites. Davis Dam Camp was built to house the workers who constructed Davis Dam. A few of the original camp buildings remain, although they have been altered. A local museum is adjacent to the park and an important petroglyph site is within the boundaries of the park.",33.9933802,-109.7587106,Camping
Herd Lake Campground,This is a single campsite located 10 miles southeast of the East Fork Road on Herd Lake Road. The site is located about 1 mile west of Herd Lake and is tucked down below the road and next to Herd Creek. A trail provides non-motorized access to the lake. \r\nAmenities include: \r\n1 campsite with picnic table and fire ring \r\n1 vault toilet; Trail head to Herd Lake,44.09495,-114.18173,Camping
Upper Big Bend Camping Area,"Nestled between Scenic Utah Highway 128 and the Colorado River, the Upper Big Bend Campground is popular with climbers visiting the  Big Bend Bouldering Area a short walk away.\r\n Upper Big Bend Campground is located 8 miles from the junction of U.S. Highway 191 and Utah Highway 128. Upper Big Bend is suitable for tent camping. Campsites are available on a first-come, first served basis.  There is no water available.  \r\n\r\n Fee: $10.00 per vehicle Number of campsites: 8 Toilets: Yes\r\n For a photo and a brief description please visit:  http://www.blm.gov/ut/st/en/fo/moab/recreation/campgrounds/highway_128/Upper_Big_Bend.html",38.64933,-109.48819,Camping
Indian Crossing Campground,Elevation 5700 ft. 22 campsites on the Green River. John Jarvies chose to establish his homestead and business here because of the natural crossing across the Green River. Explore the historic buildings and relive the wild west.,40.5356,-109.1048,Camping
Corral Creek Campground,"This is a free site with 6 campsites at 7,200 foot elevation with vault toilet, day use parking, and a foot trail to wade fishing. Each campsite has a picnic table, fire ring/grill at most sites, parking space, and no pull-throughs. The main attraction at this site is fishing and floating on the North Platte River. An abundance of wildlife can be found in the area.  Typical use season is from June 1st through November 15th depending on winter conditions.",41.26152,-106.57248,Camping
Teton Reservoir Campground,"Set in the rolling sage grasslands of the Great Divide Basin, this reservoir becomes a watery oasis under the bright summer skies. Fishing for trout in the reservoir and surrounding streams is good; this is also a popular non-motorized water sports area.\r\n\r\nThis is a free site with 5 campsites, vault toilets, boat ramp, and day use parking. Campsites have picnic tables, fire ring/grills, and parking spurs with no pull-throughs.  No horses allowed in campground. Typical use season is from June 1st through November 15 because access roads become impassable after heavy rain and snow belt wherein they get extremely muddy.",41.60278,-107.25483,Camping
Weeping Rock Campground,"A fine getaway for anglers boaters and birdwatchers. This area was once a gathering place for mountain men, and is now a haven for birds and wildlife. Trout and kokanee salmon live in this area of the Green River, and since the area is restricted to motorboats, the fishing is always good.  Free site, facilities include toilets, picnic sites, and fishing access to the Green River.\r\n\r\nThis site is located near historic resources. Please do not collect or damage resources.",42.02075,-110.04957,Camping
OHAVER LAKE,"Overview OHaver Campground, located on the shores of OHaver Lake, attracts many campers for fishing, bird watching and canoeing on the calm, pleasant lakes. During peak season, interpretive programs are offered most weekends. Nearby mountain biking and hiking opportunities are also available.  Campers can venture on a trip to part of the popular Colorado Trail. The multi-purpose trail extends for 487 miles from Denver to Durango, with altitude variations ranging from 5,500 to 13,300 feet.  Natural Features: Campsites have limited understory and sites are situated close to one another. OHaver sits at an elevation of 9,200 feet, in a forest of ponderosa pine and aspen.  Ponderosa pines provide a fresh vanilla scent in the mountain air and aspens please visitors with golden foliage displays in autumn. Nearby OHaver Lake spans 15 acres. Recreation: Anglers can use the accessible fishing pier or a paddle boat to seek rainbow and brook trout on OHaver Lake.  Facilities: Vault toilets and drinking water from hand pumps are provided. Trash collection service is provided and parking aprons are dirt. A campground host is onsite.  Nearby Attractions: Monarch Pass is a highly enjoyed scenic drive, offering impressive 360 degree views of Colorados Sawatch Range.",38.4277777778,-106.143055556,"Camping, Horseback Riding"
MEADOWS GROUP CAMPGROUND,"Overview Meadows Group Campground offers a wonderful opportunity for groups to enjoy the great outdoors. Located just 45 miles south of Denver near the town of Buffalo Creek, Colorado, the campground provides easy access to trout fishing, hiking and mountain biking.  Natural Features: The campground sits at an elevation of 7,400 feet in the Front Range of the Rocky Mountains. Temperatures are generally mild. About 67 miles south is Pikes Peak at an altitude of 14,110 feet. It is heralded as the easternmost mountain peak over 14,000 feet in the United States.  Recreation: Several trailheads for mountain biking, hiking and horseback riding are within a half mile radius of the campground. The Buffalo Creek mountain bike area and the Lost Creek Wilderness Area can be accessed from the campground via the Colorado Trail. Buffalo Creek is a popular fishing area for brook trout. Facilities: Two group campsites are available and each one fits up to 150 campers. Accessible picnic tables and vault toilets are onsite. A communal water hydrant is available but it is recommended that campers bring their own drinking water. Firewood is available at Buffalo Campground, a half-mile east on Forest Road 550. Nearby Attractions: Head to Wellington Lake or hike up one of the many peaks like Little Scraggy Peak.",39.3319444444,-105.316666667,"Camping, Horseback Riding"
BUCKBOARD CROSSING,"Overview Buckboard Crossing Campground is located on the far northwest shore of Flaming Gorge Reservoir at an elevation of 6,100 feet. Boating, fishing and water skiing are popular activities. Natural Features: The campground is situated in a high desert landscape with sagebrush and a few scattered trees. Natural shade is minimal. Typical weather ranges from warm days to cool nights. Recreation: Fishing, boating, canoeing, water skiing and swimming are popular activities on the lake. Campers are offered the convenience of an adjacent boat ramp, marina and fish cleaning station. Buckboard Marina has boat rentals, fuel, slips, fishing licenses, bait and groceries. Facilities: The campground consists of 66 single-family campsites, most of which can be reserved. Several sites in Loop A have electrical hookups. Most sites have a shade cabana, picnic table and campfire ring. Some sites have grills and/or fire rings. Flush toilets, drinking water and showers are provided. Non-campers can use the shower facilities for a small fee. A dump station is located on-site.  Nearby Attractions: Flaming Gorge Dam offers guided tours of the working hydroelectric plant and the dam itself; The adjacent visitor center contains area history exhibits.",41.2494444444,-109.601388889,"Camping, Horseback Riding"
LODGEPOLE AT HEBER,"Overview Lodgepole Campground is located in scenic Daniels Canyon just a short drive from Heber, Utah, and Strawberry Reservoir at an elevation of 7,800 feet. Campers enjoy fishing and hiking in the canyon and day-tripping to Strawberry.  Natural Features: The campground is situated in a beautiful mountain setting along Daniels Creek. A forest of pine, fir and aspen covers the area, and willows line the creek bank. Summer wildflowers dot the landscape. Recreation: Daniels Creek is stocked with rainbow, brown and cutthroat trout. Foreman Hollow Trail begins in the campground, offering easy to moderate hiking on a 4-mile loop with excellent views of Strawberry Reservoir, Strawberry Peak and Twin Peaks. Facilities: The campground offers flush toilets and drinking water, as well as group picnic shelters. Loop A contains reservable individual sites, while Loop B contains two group camping sites, one for up to 50 people, the other for up to 100 people. Nearby Attractions: Strawberry Reservoir is 12 miles away, with plentiful fishing, boating and canoeing opportunities. The Strawberry OHV Trail System offers 75 miles of trails. Hikers and mountain bikers enjoy the extensive trail system as well. Strawberry Visitor Center has interpretive displays, a working fish trap and egg collection station and a nature trail.",40.3097222222,-111.259722222,"Ohv, Atv, Camping, Jeep Trails"
LOST CREEK CAMPGROUND,"Overview Lost Creek Campground is located just off the Mirror Lake Scenic Byway on the shores of Lost Lake at an elevation of 9,900 feet. The byway cuts through the Uinta Mountains, which are known for their abundant recreational opportunities and scenic beauty. Natural Features: A dense forest of Engelmann spruce and lodgepole pine covers the campground, providing ample shade. Summer wildflowers dot the landscape. Summer temperatures range from 65-75 degrees during the day to 40-50 degrees at night.  Recreation: Lost Lake offers rainbow trout fishing, canoeing and kayaking in a beautiful setting. The lake is open only to non-motorized watercraft. Many hiking, biking, horse and off-road vehicle trails crisscross this beautiful region, including the Crystal Lake and Bald Mountain Trails, both of which begin nearby.  Mirror Lake Campground is just up the road and offers weekend amphitheater programs, as well as more great canoeing and fishing opportunities. Facilities: The campground contains several single-family sites, all with picnic tables and campfire rings. Vault toilets, drinking water and trash collection are provided. Firewood is available for purchase from the host. A water filling station is located at the entrance. Roads and parking spurs are paved. Nearby Attractions: Mirror Lake Scenic Byway parallels the Lower Provo River as it snakes across a portion of the Uinta Mountains, leading to numerous high alpine lakes and streams, countless trails, breathtaking scenic viewpoints and various campgrounds. Fishing, canoeing, hiking, backpacking, horseback riding and biking are popular activities. The High Uintas Wilderness can be accessed from several trails along the byway.",40.6794444444,-110.934722222,"Camping, Horseback Riding"
EL PRADO GROUP,"Overview El Prado Group Campground is a great mountain getaway just one hour east of San Diego, California in the Laguna Mountain Recreation Area. Campers can enjoy cooler temperatures, unique natural areas and an extensive trail system at this mountain facility from summer through early fall. Natural Features: The campground sits at an elevation of 5,600 ft. in the Laguna Mountains. It is forested with pines and oaks that provide plenty of shade. The area is home to many species of birds, as well as the endangered Laguna Skipper butterfly. Recreation: The Laguna Mountain Recreation Area is known for great horseback riding, mountain biking and hiking trails. Visitors can get their boots dusty on the Laguna Meadow Trail system or access a segment of the 2,650-mile Pacific Crest Trail, which runs from Mexico, through California and north to Canada. El Prado Cabin was built in 1911 and was the first Rangers cabin in the Cleveland National Forest. The cabin is still standing today and is located at El Prado Campground. Families can learn about the areas flora and fauna by attending educational programs at nearby Laguna Campground. A visitor center is a few miles down the road. Families can learn about the areas flora and fauna by attending educational programs at nearby Laguna Campground. A visitor center is a few miles down the road. Facilities: The campground is made up of five well-spaced individual group sites in a peaceful setting adjacent to Laguna Campground. One of the group sites, Yerba Santa, is accessible and includes four tent sites.  Each site can accommodate a varying number of guests ranging between 30 to 50 people, and allows a 40-ft. maximum RV length.  The facility provides drinking water, flush and vault toilets and a large parking area.  Part of the campground is fenced off to protect the habitat of the endangered Laguna Skipper butterfly. Visitors are asked to respect the fence boundary and comply with the maximum site occupancy.",32.8869444444,-116.455555556,"Camping, Horseback Riding"
PARADISE IN OREGON,"Overview Paradise Campground is indeed a paradise for campers. Tucked within a lush, old-growth forest of Douglas fir and western red cedar, the area portrays a sub-tropical vibe along the banks of the McKenzie River, where catch-and-release trout and steelhead fishing is a popular activity, along with whitewater rafting and kayaking. Natural Features: Paradise sits on a bend of the river at an elevation of 1,600 feet. Ferns and other moisture loving plants cover the ground, and mosses drape the trees. The campground is in the heart of Willamette National Forest, which spans 1.6 million acres on the western slopes of the Cascade Range. Recreation: Rafters and kayakers live it up in the whitewater of the McKenzie River. A boat ramp is located on-site. The McKenzie River National Recreation Trail begins nearby, and is a favorite among hikers and mountain bikers. Facilities: A number of sites face the river, while many others are tucked into the scenic forest. Flush toilets are dispersed throughout the campground and parking spurs are paved. Educational programs are provided at the amphitheater. Nearby Attractions: A golf course is located about 7 miles west of the campground.",44.1861111111,-122.096111111,"Cabins Overnight, Camping, Canoeing, Fire Lookouts, Fishing, Hike, Horse Camping, Mountain Biking, Off Highway Vehicle, Picnicking, Recreational Vehicles, Rock Climbing, Swimming, Wildlife Viewing, Winter Sports"
AMANITA,"Overview Amanita Campground is located next to scenic Lake Cascade in west-central Idaho. It is near the town of Donnelly, at an elevation of 4,850 feet. Boating, fishing, swimming and hiking are popular activities in this scenic region. Natural Features: The campground is situated on the west shore of the lake, among a mixed-growth conifer forest that towers over the campground. Summer wildflowers are abundant in the area. A wide variety of wildlife makes its home around the lake. Waterfowl and songbirds can also be seen in the area, as well as pelicans and bald eagles. Recreation: Lake Cascade offers excellent opportunities for boating, water skiing, canoeing, windsurfing and sailing. Anglers enjoy casting for rainbow trout, coho salmon, smallmouth bass and perch. A boat ramp is located at the neighboring Rainbow Point Campground. Many hiking and biking trails are in the area as well. Facilities: This small campground contains single-family campsites, with picnic tables, campfire rings and grills. Some sites have lake views and shoreline access.  Vault toilets, drinking water and trash collection are provided, but there is no electricity at the campground. Roads and parking spurs within the facility are gravel. A campground host can be located at Rainbow Point Campground.",44.7019444444,-116.131388889,"Camping, Horseback Riding"
DEWDROP,"Overview Dewdrop Campground sits on the Kinzua Arm of the Allegheny Reservoir in northwest Pennsylvania, offering a popular getaway for boaters and families. Natural Features: The Allegheny National Forest covers nearly half a million acres and is populated primarily with black cherry, maple and other hardwoods. The Kinzua Dam, built in 1965, impounds the Allegheny River to form the 25-mile-long Allegheny Reservoir.  Recreation: Water activities abound, including lake and pond fishing, boating and water skiing. A boat launch is available for convenient lake access. The area also offers beautiful scenic drives. A variety of planned routes are available, with maps available at Forest Service offices. Additionally, a 2.5 mile interpretive trail winds around the campground. Facilities: This large campground offers 74 reservable family campsites that include a picnic table, fire ring and tent pad. Flush toilets, drinking water and a dump station are provided. Amenities such as firewood, ice, interpretive services and 24-hour campground attendants are offered at the site. Nearby Attractions: The Kinzua Dam and Bridge are a short drive away, as is a scenic railroad from the areas bygone industrial era.",41.8319444444,-78.9594444444,"Camping, Jeep Trails"
DUCK CREEK,"Overview Duck Creek Campground is located 28 miles east of Cedar City, Utah near its namesake creek and lake. Visitors enjoy fishing, canoeing and exploring the Duck Creek/Markagunt ATV Trail System. Natural Features: The campground is situated in a scenic spruce forest, adjacent to Duck Lake and Creek at an elevation of 8,400 feet. Neither the lake nor the creek is visible from the campground. Recreation: Duck Lake and Creek offer great fishing for rainbow, brook, brown and cutthroat trout. Canoeing and kayaking are popular activities. The Duck Creek/Markagunt ATV Trail System begins within the campground, offering a massive network of ATV/OHV trails for riders of all skill levels. The 34-mile Virgin River Rim Trail passes near the campground and is open to hiking, mountain biking and horseback riding.  Cascade Falls trailhead is located just a few miles away at Te-Ah Campground. This scenic trail has abundant wildlife and vegetation. Facilities: Duck Creek offers a variety of campsites for families and groups alike. Flush and vault toilets are provided, as is drinking water from Memorial Day through Labor Day. A large reservable amphitheater with a covered stage and plentiful bench seating is located in the campground.  An ATV parking area is located on the northeast corner of Loop D between campsites 89 and 90. Loop A has a paved road and spurs; Loop B has paved and graveled spurs. The Duck Creek Visitor Center is just across the road from the campground with trail maps and information on the surrounding scenic area. Nearby Attractions: Food services, lodging, showers, groceries, gas and laundry facilities are are available at Duck Creek Village three miles east of the campground. Boat rentals, a boat ramp, lodging and groceries are available at Navajo Lake Lodge 5 miles west. Cedar Breaks National Monument is 20 miles away, with hiking trails, guided tours and breathtaking scenery.  Just outside Cedar Breaks is the Ashdown Gorge Wilderness Area, where hikers will find 10 miles of trails and the Twisted Forest, a stand of ancient bristlecone pine.",37.5186111111,-112.684722222,"Ohv, Atv, Camping, Horseback Riding"
SUNSET-UNION VALLEY,"Overview Sunset Campground is situated on the shores of Union Valley Reservoir, among the towering cedar and ponderosa pines of Eldorado National Forest. Aptly named, the campground is a fantastic destination for colorful sunset views over the lake. All water activities are popular here, but its also fun to bring a bike and explore the neighboring bike trail.  Eldorado includes the famed gold mining territory of the 1800s. Remnants of the days of the California Gold Rush can be found all around the region. Natural Features: Sunset Campground sits in the Crystal Basin at an elevation of 5,000 feet. Some sites are fully shaded while others sit in a meadow. The climate is similar to that of the Mediterranean with warm, dry summers and cold, wet winters. Recreation: On the water, sailing, boating and swimming are very popular. For hikers and bikers, the Union Valley Bike Trail and Bassi Falls Hiking Trail are great for exploring.   Fishing in the lake includes rainbow, brown, mackinaw trout and kokanee salmon.  The bike trail connects with the campground, near the boat ramp, and stretches for 4.8 miles along the eastern shores of the lake.  Facilities: The large campground has 131 single-unit sites including 30 tent-only spots. Amenities include a boat ramp with an accessible boarding dock, a paved parking area, dump station, vault toilets and drinking water. A swimming beach is also located onsite. Nearby Attractions: Venture to the nearby lake, Ice House Reservoir or hike up Twin Peaks to look down over Union Valley Reservoir. A restaurant and general store are within 5 miles of the campground.",38.8658333333,-120.405,Camping
PRINTER BOY,"Overview Printer Boy Group Campground is located near Turquoise Lake, in an area with plenty of recreational opportunities, including boating, fishing and hiking. Natural Features: The campground is situated within walking distance of the lakeshore in a forest of lodgepole pine and subalpine fir. The Mount Massive Wilderness area, a 30,540 acre stretch of primitive land is nearby. Much of the wilderness is above timberline with many alpine plant communities and permanent snowfields. Recreation: Hikers enjoy the 1.2-mile Turquoise Lake Nature Trail. The gentle path meanders through the forest and down to the shoreline of Turquoise Lake where it connects with the 6.4-mile Turquoise Lake Trail. Trail guides are available at the Turquoise Lake Trail trailhead, located at the entrance to Molly Brown Campground.  On the lake, boating, sailing, canoeing and fishing are favorite activities. Anglers fish for stocked cutthroat, rainbow, brown and lake trout. A boat ramp is located nearby. The campground offers a playground, ball fields, horseshoe pits and a volleyball court. Campers must bring their own sports equipment. Facilities: Printer Boy offers four group sites: 1 and 4 can accommodate up to 75 people; 2 and 3 can accommodate up to 35 people. Sites 3 and 4 are accessible.  Each site is equipped with picnic tables, a campfire circle and grill.A centrally-located cooking shelter is available on a first-come, first-served basis. Vault toilets, drinking water and trash collection are provided. A dump station is located just outside the campground. Nearby Attractions: The nearby town of Leadville, a historic gold and silver mining town, is worth visiting for its small town charm. Venture to Independence Pass for a scenic drive with breathtaking views of the Rockies and surrounding alpine tundra habitat. At 12,095 feet, it is one of the highest paved mountain passes in the country and marks where the Top of the Rockies National Scenic and Historic Byway crosses the Continental Divide.",39.2694444444,-106.346666667,"Camping, Horseback Riding"
ROBINSON CREEK NORTH,"Overview Robinson Creek North Campground is located just 9 miles from Bridgeport, California, next to Robinson Creek at an elevation of 7,000 feet. The Twin Lakes area is close by, offering boating, fishing, hiking and horseback riding opportunities. Natural Features: The campground is situated alongside its namesake creek, where a forest of massive Jeffrey pines towers over the site, offering partial shade. Lodgepole pines, sagebrush and summer wildflowers dot the landscape. Recreation: Robinson Creek offers good rainbow trout fishing and can be easily accessed from within the campground. Numerous hiking trails are in the vicinity, including the popular Robinson Creek Trail. Facilities: The campground contains single sites with picnic tables, food storage lockers and campfire rings with grills. Vault toilets, drinking water and trash collection are provided. Firewood is available for purchase from the host.  Educational programs are held next door at Robinson Creek South Campgrounds amphitheater on weekends from July 4 through Labor Day. Nearby Attractions: Upper and Lower Twin Lakes are nearby, offering beautiful mountain scenery, boating, canoeing and fishing for Kokanee salmon and rainbow and brown trout. The rugged and scenic Hoover Wilderness Area can be accessed from the Twin Lakes area and offers additional trails for hiking and horseback riding.",38.1861111111,-119.3175,"Camping, Horseback Riding"
MAHOGANY GROVE,"Overview Mahogany Grove Campground is set in the beautiful Spring Mountains National Recreation Area, just 40 miles from downtown Las Vegas. Visitors enjoy hiking, horseback riding and scenic driving in this forested desert oasis. Natural Features: The Spring Mountains National Recreation Area is a beautiful island in the desert, brimming with breathtaking scenery and diverse flora and fauna. The Bristlecone pine, the worlds oldest organism, and the rare Mount Charleston blue butterfly are both found within the Spring Mountains. More than 100 springs create the namesake for the mountain range, making it an ideal place to escape the heat of the city. The campground is situated so campers are awarded sweeping views of the Spring Mountains. Stands of juniper and mountain mahogany forest the site, providing privacy from the highway but only limited shade. Recreation: The North Loop-Mt. Charleston National Recreation Trail begins less than a mile away. Robbers Roost Trailhead is nearby as well. The Spring Mountains Visitor Center is a short drive from the campground, offering guided hikes and educational programs. Facilities: The campground contains four group sites with picnic and serving tables, grills and campfire circles. A volleyball court is located near Site 002. Vault toilets and drinking water are provided. Roads and parking spurs are paved. The campground was reconstructed and now contains six group sites and picnic and serving tables, grills, campfire circles, and tent pads. The sites are tent only, with lot style parking. This means there are short distances to carry equipment to the sites. Vault toilets and drinking water are provided. Roads and parking areas are paved. Nearby Attractions: More than 60 miles of hiking and horseback riding trails crisscross the area; two trails allow mountain biking. Rock climbing, picnicking and scenic driving are popular activities.",36.3119444444,-115.616111111,"Camping, Horseback Riding"
MCWILLIAMS,"Overview McWilliams Campground is located in the Spring Mountains National Recreation Area, just 50 miles from downtown Las Vegas. Visitors enjoy hiking, mountain biking and scenic driving in this forested desert oasis. Natural Features: The Spring Mountains National Recreation Area is a beautiful island in the desert, brimming with breathtaking scenery and diverse flora and fauna. The Bristlecone pine, the worlds oldest organism, and the rare Mount Charleston blue butterfly are both found within the Spring Mountains. More than 100 springs create the namesake for the mountain range, making it an ideal place to escape the heat of the city. The campground is situated in a scenic Ponderosa and white pine forest, which offers partial shade. The area affords breathtaking views of the surrounding Spring Mountains. Recreation: Hiking and mountain biking are popular activities on the 6.2-mile Bristlecone Trail. Upper and lower trailheads are located just above and below the campground. The 1.3-mile Sawmill Trail begins about four miles below the campground just off Highway 156. Facilities: This campground contains several single and double-family sites with picnic tables, grills and campfire rings. Flush and vault toilets, drinking water and trash collection are provided. Firewood is available for purchase from the host. Roads and parking spurs are paved. Nearby Attractions: More than 60 miles of hiking and horseback riding trails crisscross the area. Rock climbing, picnicking and scenic driving are popular activities. The Spring Mountains Visitor Center in Kyle Canyon offers guided hikes and educational and evening programs. Interpretive displays provide information on local plants, animals and history.",36.3091666667,-115.6825,"Camping, Horseback Riding"
COLD RIVER,"Overview Cold River Campground is located in a rustic, remote part of White Mountain National Forest in New Hampshire, about 15 miles north of Fryeburg, Maine. It is a small facility with access to hiking and mountain biking trails and proximity to a small pond for fishing and canoeing. The White Mountains boast pristine forests, clear mountain streams and rivers and the tallest peaks in the Northeast. The forest encompasses nearly 800,000 acres in New Hampshire and western Maine, and is one of the most popular in the country. Natural Features: The campground is in a pleasant mixed hardwood and pine forest, a short distance from Evans Brook and the 23-acre Basin Pond. The national forest is home to many species of northern wildlife, including moose, white-tailed deer and black bear. Almost 200 species of birds, including the rare Bicknells Thrush, live in the White Mountains. Recreation: The 4.5-mile Basin Trail leaves from nearby Basin Campground. Numerous other hiking and mountain biking trails lie within a short drive, including those in the Caribou Speckled Mountain Wilderness. Trout fishing is available in Basin Pond. The ponds calm waters are also ideal for canoeing.  Learn more  about recreation in the national forest. Facilities: Cold River is a small facility with campsites organized around one loop. Accessible restrooms and a hand pump for water are provided. Picnic areas are nearby. There are no showers or a dump station. Nearby Attractions: The towns of Fryeburg, Gilead and Stow, Maine have groceries, restaurants, gas and other conveniences. Campers might enjoy a scenic day trip to the Presidential Range, which consists of the tallest mountains in the forest, including the 6,288-ft. Mount Washington, the highest peak north of the Smoky Mountains and east of the Mississippi River. The area hosts four alpine and five nordic ski areas, which provide year-round recreation opportunities such as skiing, hiking, mountain biking, outdoor concerts, interpretive trails, special events and regional and national skiing and snowboarding races.",44.2644444444,-71.0133333333,"Camping, Horseback Riding"
